 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,81.189,10.073,9.489,10.073,9.489,41.661,18.069,5.721,179.871,0.588,17.451,1,1.39,10.069,178.063,5.435,3.158,0.317,0.994,0,3.158
2,81.157,10.068,9.489,10.068,9.489,41.661,18.07,5.719,179.856,0.588,17.422,2,1.39,10.027,177.089,5.435,3.16,0.316,0.994,0.01668335,3.16
3,88.718,10.023,8.96,10.023,8.96,46.871,16.786,6.729,0.038,0.507,18.211,3,0,11.922,10.53,6.277,2.494,0.401,0.942,0.0333667,2.494
4,109.494,10.139,7.56,10.139,7.56,73.05,14.005,9.954,177.986,0.258,26.583,4,0,11.838,179.818,9.732,1.407,0.711,0.699,0.05005005,1.407
5,124.979,10.22,6.121,10.219,6.123,81.54,12.872,12.362,104.797,0.236,26.583,5,0,11.838,179.818,11.922,1.041,0.96,0.602,0.0667334,1.041
6,126.427,10.283,5.464,10.283,5.464,79.283,12.871,12.507,87.178,0.253,21.991,6,0,11.838,179.78,11.922,1.029,0.972,0.63,0.08341675,1.029
7,122.645,10.272,4.918,10.272,4.914,45.598,13.298,11.743,1.604,0.741,14.378,7,3.118,3.707,2.351,11.922,1.132,0.883,0.956,0.1001001,1.132
8,108.459,10.309,4.055,10.308,4.056,42.648,15.374,8.982,0.338,0.749,14.951,8,2.865,4.213,4.04,8.973,1.712,0.584,0.979,0.11678345,1.712
9,109.476,10.356,4.138,10.356,4.138,42.463,15.492,8.998,0.589,0.763,15.004,9,2.865,4.002,1.609,8.678,1.722,0.581,0.988,0.1334668,1.722
10,118.639,10.378,4.756,10.378,4.756,42.517,14.16,10.668,179.265,0.825,14.388,10,3.202,4.634,3.189,10.659,1.327,0.753,0.991,0.15015015,1.327
11,125.446,10.378,5.433,10.378,5.433,45.154,13.077,12.214,171.491,0.773,13.764,11,4.803,0.463,131.153,11.922,1.071,0.934,0.989,0.1668335,1.071
12,124.207,10.387,6.009,10.387,6.009,43.953,12.622,12.529,164.708,0.808,13.982,12,5.772,0.548,125.558,11.627,1.007,0.993,0.99,0.18351685,1.007
13,122.328,10.443,6.575,10.443,6.575,42.886,12.777,12.19,174.754,0.836,13.531,13,7.457,0.59,123.443,11.543,1.048,0.954,0.992,0.2002002,1.048
14,116.46,10.491,7.201,10.491,7.201,52.618,13.422,11.048,179.934,0.529,17.718,14,0,11.922,14.598,10.785,1.215,0.823,0.905,0.21688355,1.215
15,106.434,10.517,7.86,10.517,7.86,51.343,14.858,9.121,179.567,0.507,18.228,15,0,11.922,15.964,8.721,1.629,0.614,0.901,0.2335669,1.629
16,104.698,10.521,8.055,10.521,8.055,51.189,15.427,8.641,179.241,0.502,18.423,16,0,11.922,14.163,8.173,1.785,0.56,0.906,0.25025025,1.785
17,109.882,10.576,7.779,10.576,7.779,50.938,14.603,9.581,179.585,0.532,18.109,17,0,11.922,12.905,9.268,1.524,0.656,0.912,0.2669336,1.524
18,117.328,10.728,7.134,10.728,7.134,52.894,13.508,11.059,0.987,0.527,17.969,18,0,11.922,16.481,10.785,1.221,0.819,0.891,0.28361695,1.221
19,122.471,10.874,6.422,10.874,6.422,43.463,12.9,12.088,173.204,0.815,13.229,19,8.047,0.59,121.058,11.585,1.067,0.937,0.991,0.3003003,1.067
20,121.687,10.921,5.932,10.921,5.932,42.485,12.568,12.328,1.403,0.847,13.442,20,6.53,0.548,122.196,11.665,1.019,0.981,0.991,0.31698365,1.019
21,121.996,11.004,5.451,11.004,5.451,43.027,12.675,12.255,1.509,0.828,13.287,21,9.226,11.922,58.88,11.922,1.034,0.967,0.99,0.333667,1.034
22,114.802,11.12,4.87,11.12,4.87,42.018,13.645,10.713,179.62,0.817,13.624,22,4.381,4.971,5.323,10.659,1.274,0.785,0.99,0.35035035,1.274
23,106.228,11.252,4.48,11.252,4.48,41.117,14.774,9.155,0.692,0.79,14.297,23,4.086,5.14,2.702,8.51,1.614,0.62,0.991,0.3670337,1.614
24,110.548,11.323,4.624,11.323,4.624,42.16,14.63,9.621,178.566,0.782,14.501,24,4.086,4.339,178.002,9.479,1.521,0.658,0.99,0.38371705,1.521
25,120.043,11.364,4.988,11.364,4.988,42.964,13.74,11.124,177.464,0.817,13.687,25,4.55,2.865,173.816,10.953,1.235,0.81,0.99,0.4004004,1.235
26,126.676,11.47,5.456,11.47,5.456,44.797,13.1,12.312,175.086,0.793,13.65,26,6.024,0.506,133.249,11.922,1.064,0.94,0.99,0.41708375,1.064
27,124.725,11.568,5.956,11.568,5.956,43.321,13.069,12.151,177.526,0.835,13.142,27,7.33,0.548,130.84,11.627,1.076,0.93,0.991,0.4337671,1.076
28,122.54,11.654,6.491,11.654,6.491,43.032,12.903,12.092,5.231,0.832,13.15,28,8.678,0.632,120.838,11.543,1.067,0.937,0.991,0.45045045,1.067
29,116.046,11.679,7.019,11.679,7.019,41.016,13.059,11.315,0.413,0.867,12.984,29,6.067,11.248,36.424,10.911,1.154,0.866,0.995,0.4671338,1.154
30,109.572,11.794,7.495,11.794,7.495,40.28,13.834,10.085,0.676,0.849,13.771,30,4.887,7.794,175.79,9.858,1.372,0.729,0.994,0.48381715,1.372
31,105.926,11.91,7.757,11.91,7.757,39.999,14.447,9.336,179.487,0.832,14.057,31,4.929,8.299,3.608,9.016,1.548,0.646,0.994,0.500500501,1.548
32,106.276,12,7.747,12,7.747,39.983,14.378,9.411,178.894,0.835,13.936,32,5.14,7.162,172.531,9.016,1.528,0.655,0.994,0.517183851,1.528
33,114.288,12.065,7.277,12.065,7.277,40.792,13.652,10.659,1.044,0.863,13.645,33,5.224,7.92,175.751,10.406,1.281,0.781,0.994,0.533867201,1.281
34,118.577,12.104,6.822,12.104,6.822,41.612,13.094,11.531,2.676,0.861,13.209,34,7.162,11.922,42.544,11.122,1.136,0.881,0.993,0.550550551,1.136
35,122.555,12.207,6.308,12.207,6.308,43.85,12.791,12.2,4.506,0.801,13.281,35,8.384,11.922,58.226,11.585,1.048,0.954,0.991,0.567233901,1.048
36,121.011,12.322,5.969,12.322,5.969,42.302,12.691,12.14,8.249,0.85,13.128,36,9.732,11.922,59.32,11.501,1.045,0.957,0.993,0.583917251,1.045
37,119.983,12.359,5.471,12.359,5.471,44.233,12.873,11.868,173.738,0.771,13.249,37,7.373,0.548,131.649,11.596,1.085,0.922,0.989,0.600600601,1.085
38,114.872,12.371,5.081,12.371,5.081,42.23,13.449,10.875,176.302,0.809,13.269,38,6.024,2.78,164.155,10.701,1.237,0.809,0.99,0.617283951,1.237
39,109.943,12.478,4.757,12.478,4.757,41.821,14.097,9.93,178.085,0.79,13.8,39,5.603,3.96,174.394,9.63,1.42,0.704,0.987,0.633967301,1.42
40,112.793,12.601,4.789,12.601,4.789,41.784,13.918,10.318,179.291,0.812,13.76,40,5.772,3.918,176.489,10.027,1.349,0.741,0.99,0.650650651,1.349
41,118.984,12.676,5.047,12.676,5.047,42.904,13.483,11.236,2.123,0.812,13.418,41,6.024,4.55,3.24,10.953,1.2,0.833,0.99,0.667334001,1.2
42,123.602,12.707,5.43,12.707,5.43,43.461,13.119,11.996,1.8,0.822,13.158,42,7.499,0.632,138.245,11.754,1.094,0.914,0.991,0.684017351,1.094
43,124.2,12.774,5.902,12.774,5.902,43.29,13.038,12.129,177.079,0.833,13.166,43,8.468,0.59,131.238,11.67,1.075,0.93,0.991,0.700700701,1.075
44,122.58,12.891,6.313,12.891,6.313,42.378,12.932,12.069,175.823,0.858,12.991,44,9.647,0.632,121.474,11.501,1.072,0.933,0.993,0.717384051,1.072
45,120.432,12.968,6.617,12.968,6.617,43.819,12.823,11.958,169.82,0.788,13.107,45,10.532,0.632,121.595,11.585,1.072,0.933,0.99,0.734067401,1.072
46,114.501,12.984,7.037,12.984,7.037,40.706,13.185,11.057,179.944,0.868,13.032,46,6.53,8.678,7.056,10.701,1.192,0.839,0.994,0.750750751,1.192
47,111.148,13.028,7.289,13.028,7.289,40.109,13.664,10.357,2.851,0.868,13.624,47,6.235,8.552,5.323,10.279,1.319,0.758,0.994,0.767434101,1.319
48,107.68,13.135,7.496,13.135,7.496,39.968,13.994,9.797,2.851,0.847,13.484,48,6.361,8.131,4.66,9.31,1.428,0.7,0.994,0.784117451,1.428
49,111.604,13.197,7.272,13.198,7.271,39.953,13.704,10.369,2.956,0.879,13.623,49,6.446,8.678,6.927,10.027,1.322,0.757,0.995,0.800800801,1.322
50,117.349,13.219,6.898,13.219,6.898,41.227,13.13,11.379,179.594,0.868,12.989,50,6.867,6.361,169.346,11.08,1.154,0.867,0.994,0.817484151,1.154
51,120.281,13.197,6.543,13.197,6.543,45.991,12.859,11.91,175.713,0.715,12.87,51,7.92,3.286,147.975,11.543,1.08,0.926,0.99,0.834167501,1.08
52,120.679,13.226,6.239,13.226,6.239,41.97,12.741,12.059,177.56,0.861,12.898,52,10.069,0.632,118.909,11.627,1.057,0.946,0.991,0.850850851,1.057
53,121.795,13.281,5.838,13.282,5.841,45.513,12.735,12.177,172.124,0.739,12.996,53,8.889,0.632,130.662,11.922,1.046,0.956,0.986,0.867534201,1.046
54,119.442,13.302,5.448,13.302,5.448,44.398,12.885,11.803,3.363,0.761,12.935,54,9.268,10.069,46.848,11.543,1.092,0.916,0.987,0.884217551,1.092
55,116.868,13.272,5.164,13.274,5.167,43.124,13.327,11.166,179.728,0.79,13.222,55,6.698,4.466,175.797,10.827,1.194,0.838,0.989,0.900900901,1.194
56,113.031,13.292,5.015,13.292,5.017,45.423,13.742,10.473,178.567,0.688,13.534,56,6.614,4.255,173.207,10.237,1.312,0.762,0.983,0.917584251,1.312
57,115.166,13.36,5.076,13.36,5.078,46.416,13.673,10.725,178.87,0.672,13.483,57,6.656,5.729,7.902,10.532,1.275,0.784,0.983,0.934267601,1.275
58,119.136,13.401,5.29,13.402,5.292,45.768,13.267,11.433,176.06,0.715,13.257,58,6.867,3.539,171.226,11.206,1.16,0.862,0.985,0.950950951,1.16
59,123.13,13.369,5.581,13.37,5.583,44.79,12.962,12.095,176.709,0.771,13.246,59,8.426,0.59,131.906,11.754,1.072,0.933,0.987,0.967634301,1.072
60,123.705,13.375,5.958,13.375,5.958,45.39,12.806,12.299,179.504,0.755,13.17,60,9.226,0.548,126.283,11.922,1.041,0.96,0.987,0.984317651,1.041
61,122.138,13.443,6.266,13.443,6.266,43.064,12.802,12.148,1.096,0.828,13.037,61,10.237,11.922,60.37,11.627,1.054,0.949,0.99,1.001001001,1.054
62,120.359,13.482,6.535,13.482,6.535,44.758,12.775,11.996,7.495,0.755,13.085,62,9.31,11.922,59.637,11.67,1.065,0.939,0.989,1.017684351,1.065
63,116.227,13.452,6.886,13.452,6.886,40.732,13.135,11.267,1.79,0.88,12.996,63,6.993,8.257,7.263,10.911,1.166,0.858,0.994,1.034367701,1.166
64,112.053,13.445,7.166,13.445,7.166,39.953,13.505,10.564,1.085,0.882,13.354,64,6.783,8.215,4.523,10.237,1.278,0.782,0.994,1.051051051,1.278
65,110.615,13.489,7.274,13.489,7.274,40.001,13.737,10.253,1.461,0.869,13.455,65,6.783,8.257,7.014,9.816,1.34,0.746,0.995,1.067734401,1.34
66,112.491,13.507,7.137,13.507,7.137,40.003,13.519,10.595,0.147,0.883,13.335,66,6.951,6.825,174.379,10.237,1.276,0.784,0.994,1.084417751,1.276
67,116.872,13.471,6.851,13.471,6.851,40.627,13.133,11.331,1.967,0.89,12.986,67,7.204,9.142,16.201,10.996,1.159,0.863,0.994,1.101101101,1.159
68,119.632,13.439,6.541,13.439,6.541,43.136,12.853,11.851,4.471,0.808,12.817,68,9.563,11.922,61.75,11.459,1.085,0.922,0.992,1.117784451,1.085
69,121.398,13.425,6.24,13.425,6.24,42.676,12.744,12.129,2.058,0.838,13.001,69,10.195,11.922,60.278,11.585,1.051,0.952,0.992,1.134467801,1.051
70,121.579,13.432,5.931,13.432,5.931,42.884,12.673,12.215,5.595,0.831,13.028,70,9.142,0.632,120.296,11.67,1.038,0.964,0.991,1.151151151,1.038
71,121.374,13.407,5.685,13.407,5.685,43.165,12.795,12.078,177.024,0.819,13.047,71,8.721,0.59,128.313,11.796,1.059,0.944,0.989,1.167834501,1.059
72,118.828,13.345,5.4,13.345,5.4,42.542,13.077,11.569,175.603,0.825,13.03,72,8.468,0.632,137.49,11.29,1.13,0.885,0.99,1.184517851,1.13
73,115.084,13.326,5.233,13.326,5.233,42.349,13.541,10.822,178.088,0.806,13.361,73,6.698,4.634,175.116,10.48,1.251,0.799,0.989,1.201201201,1.251
74,115.702,13.35,5.266,13.35,5.266,42.569,13.539,10.881,178.274,0.802,13.454,74,6.656,4.634,177.308,10.69,1.244,0.804,0.988,1.217884551,1.244
75,118.872,13.338,5.41,13.338,5.41,43.074,13.211,11.456,1.11,0.805,13.091,75,6.909,6.151,10.008,11.18,1.153,0.867,0.989,1.234567901,1.153
76,122.998,13.277,5.647,13.277,5.647,43.417,12.872,12.167,5.766,0.82,13.071,76,8.594,0.548,131.603,11.922,1.058,0.945,0.989,1.251251251,1.058
77,123.467,13.242,5.911,13.242,5.911,43.673,12.801,12.281,179.803,0.813,13.18,77,8.805,0.632,127.859,11.754,1.042,0.959,0.989,1.267934601,1.042
78,121.493,13.273,6.195,13.273,6.195,42.349,12.81,12.076,0.444,0.851,12.837,78,9.984,0.632,118.415,11.501,1.061,0.943,0.993,1.284617951,1.061
79,121.767,13.254,6.391,13.254,6.391,43.395,12.789,12.123,174.859,0.813,13.064,79,9.605,11.922,59.797,11.627,1.055,0.948,0.99,1.301301301,1.055
80,119.628,13.187,6.641,13.187,6.642,45.997,12.909,11.799,178.573,0.711,12.845,80,7.71,3.876,150.745,11.543,1.094,0.914,0.989,1.317984651,1.094
81,115.661,13.141,6.914,13.141,6.914,40.539,13.276,11.092,1.176,0.884,13.134,81,6.656,8.215,6.076,10.743,1.197,0.836,0.994,1.334668001,1.197
82,114.169,13.148,7.026,13.148,7.026,40.181,13.516,10.755,2.446,0.889,13.339,82,6.488,6.741,174.199,10.406,1.257,0.796,0.994,1.351351351,1.257
83,113.963,13.124,7.038,13.124,7.038,40.319,13.525,10.729,3.138,0.881,13.306,83,6.488,7.92,6.18,10.322,1.261,0.793,0.995,1.368034701,1.261
84,116.38,13.053,6.872,13.053,6.872,40.792,13.209,11.218,2.6,0.879,13.049,84,6.656,8.594,10.04,10.827,1.178,0.849,0.994,1.384718051,1.178
85,120.517,12.985,6.555,12.985,6.555,44.283,12.855,11.936,177.847,0.772,12.98,85,10.406,0.632,119.56,11.627,1.077,0.929,0.989,1.401401401,1.077
86,120.869,12.946,6.366,12.946,6.366,43.325,12.755,12.066,177.782,0.809,12.959,86,10.069,0.632,119.398,11.585,1.057,0.946,0.991,1.418084751,1.057
87,121.898,12.908,6.143,12.908,6.143,43.003,12.737,12.185,174.671,0.828,13.193,87,9.142,0.632,121.152,11.585,1.045,0.957,0.991,1.434768101,1.045
88,121.921,12.827,5.949,12.827,5.949,43.311,12.729,12.196,177.672,0.817,13.186,88,8.636,0.59,120.744,11.67,1.044,0.958,0.99,1.451451451,1.044
89,122.074,12.762,5.778,12.762,5.778,43.387,12.847,12.099,0.975,0.815,13.036,89,8.341,0.59,127.648,11.712,1.062,0.942,0.99,1.468134801,1.062
90,119.784,12.711,5.6,12.711,5.6,42.965,13.147,11.601,178.878,0.815,13.008,90,6.319,4.213,169.928,11.29,1.133,0.882,0.99,1.484818151,1.133
91,118.141,12.673,5.496,12.673,5.496,43.08,13.358,11.26,0.875,0.8,13.24,91,6.067,5.308,177.629,10.977,1.186,0.843,0.988,1.501501502,1.186
92,118.741,12.615,5.558,12.615,5.558,42.678,13.297,11.37,178.397,0.819,13.217,92,6.067,6.067,6.038,11.08,1.169,0.855,0.99,1.518184852,1.169
93,121.087,12.534,5.669,12.534,5.67,42.906,13.069,11.797,177.732,0.827,12.996,93,6.067,4.466,172.737,11.501,1.108,0.903,0.991,1.534868202,1.108
94,122.819,12.47,5.813,12.47,5.813,43.062,12.84,12.179,177.311,0.832,13.146,94,7.962,0.59,130.581,11.712,1.054,0.949,0.991,1.551551552,1.054
95,123.059,12.441,5.993,12.441,5.993,43.25,12.845,12.198,177.882,0.827,13.1,95,9.858,11.922,59.889,11.585,1.053,0.95,0.992,1.568234902,1.053
96,122.601,12.383,6.167,12.383,6.167,43.336,12.852,12.146,2.824,0.82,12.98,96,9.521,11.922,60.44,11.585,1.058,0.945,0.991,1.584918252,1.058
97,122.643,12.31,6.322,12.31,6.322,43.792,12.854,12.148,2.822,0.804,13.15,97,8.763,11.922,59.162,11.627,1.058,0.945,0.99,1.601601602,1.058
98,121.722,12.248,6.491,12.248,6.491,44.717,12.892,12.022,2.146,0.765,13.193,98,8.004,11.922,58.848,11.543,1.072,0.932,0.99,1.618284952,1.072
99,119.184,12.207,6.699,12.207,6.699,42.025,13.08,11.602,0.71,0.848,13.111,99,7.541,11.922,46.302,11.164,1.127,0.887,0.992,1.634968302,1.127
100,117.823,12.148,6.804,12.148,6.804,41.617,13.227,11.342,179.672,0.855,13.138,100,5.603,6.698,173.741,11.08,1.166,0.857,0.993,1.651651652,1.166
101,115.968,12.061,6.907,12.061,6.907,42.222,13.405,11.015,179.993,0.817,13.212,101,7.162,11.922,38.917,10.574,1.217,0.822,0.989,1.668335002,1.217
102,117.037,11.997,6.835,11.997,6.835,42.031,13.292,11.211,0.407,0.833,13.101,102,5.519,6.361,173.538,10.827,1.186,0.843,0.99,1.685018352,1.186
103,120.407,11.956,6.625,11.956,6.625,47.287,13.01,11.783,179.533,0.677,13.128,103,7.288,11.922,59.32,11.585,1.104,0.906,0.985,1.701701702,1.104
104,121.287,11.905,6.5,11.905,6.5,46.279,12.865,12.004,1.575,0.712,13.416,104,7.12,11.922,57.308,11.585,1.072,0.933,0.985,1.718385052,1.072
105,122.562,11.823,6.314,11.823,6.314,45.473,12.815,12.177,179.67,0.745,13.507,105,7.625,11.922,56.706,11.67,1.052,0.95,0.986,1.735068402,1.052
106,122.553,11.758,6.18,11.758,6.18,43.718,12.827,12.165,178.28,0.806,13.15,106,8.426,11.922,59.162,11.585,1.054,0.948,0.991,1.751751752,1.054
107,123.359,11.718,6.043,11.718,6.043,43.455,12.817,12.255,179.229,0.821,13.243,107,8.721,11.922,59.193,11.627,1.046,0.956,0.991,1.768435102,1.046
108,122.931,11.666,5.962,11.666,5.962,43.539,12.841,12.189,1.299,0.815,13.15,108,9.058,11.922,59.162,11.585,1.054,0.949,0.991,1.785118452,1.054
109,123.495,11.581,5.887,11.581,5.887,44.525,12.937,12.154,3.755,0.783,13.259,109,8.973,11.922,58.381,11.627,1.064,0.939,0.99,1.801801802,1.064
110,121.474,11.518,5.82,11.518,5.82,43.422,13.118,11.79,2.188,0.81,12.976,110,5.35,7.752,18.553,11.417,1.113,0.899,0.991,1.818485152,1.113
111,121.564,11.475,5.816,11.475,5.816,43.204,13.201,11.725,0.508,0.818,13.168,111,4.887,5.982,3.485,11.417,1.126,0.888,0.99,1.835168502,1.126
112,122.455,11.427,5.911,11.427,5.911,43.685,13.082,11.919,0.365,0.806,13.027,112,4.971,4.887,173.128,11.585,1.098,0.911,0.99,1.851851852,1.098
113,123.916,11.346,5.96,11.346,5.96,43.687,12.925,12.207,177.66,0.816,13.18,113,7.12,0.59,127.859,11.627,1.059,0.944,0.991,1.868535202,1.059
114,123.902,11.271,6.036,11.271,6.036,46.178,12.831,12.295,178.349,0.73,13.972,114,7.12,11.922,54.201,11.627,1.044,0.958,0.982,1.885218552,1.044
115,124.784,11.206,6.14,11.206,6.14,59.949,12.926,12.291,8.448,0.436,19.037,115,0,11.922,28.266,11.627,1.052,0.951,0.829,1.901901902,1.052
116,124.237,11.167,6.245,11.167,6.245,59.632,12.976,12.19,7.148,0.439,18.849,116,0,11.922,28.283,11.627,1.064,0.939,0.838,1.918585252,1.064
117,124.101,11.079,6.352,11.079,6.352,59.311,13.056,12.102,9.348,0.443,18.77,117,0,11.922,25.242,11.712,1.079,0.927,0.846,1.935268602,1.079
